iter	Passed	Remaining
188	1062	4558
189	1068	4555
190	1074	4552
191	1080	4546
192	1086	4544
193	1091	4536
194	1097	4530
195	1104	4529
196	1109	4524
197	1116	4523
198	1123	4522
199	1128	4513
200	1134	4511
201	1139	4500
202	1143	4489
203	1147	4478
204	1153	4471
205	1157	4462
206	1162	4453
207	1167	4446
208	1172	4436
209	1176	4425
210	1181	4416
211	1186	4408
212	1190	4397
213	1194	4386
214	1199	4378
215	1203	4366
216	1207	4355
217	1211	4346
218	1217	4340
219	1221	4330
220	1225	4319
221	1229	4310
222	1234	4300
223	1238	4289
224	1242	4278
225	1247	4272
226	1251	4262
227	1255	4251
228	1259	4241
229	1264	4232
230	1268	4222
231	1272	4210
232	1275	4198
233	1280	4191
234	1284	4181
235	1288	4169
236	1291	4159
237	1297	4153
238	1302	4147
239	1306	4138
240	1311	4130
241	1315	4119
242	1320	4112
243	1324	4105
244	1329	4097
245	1335	4093
246	1340	4087
247	1345	4081
248	1364	4114
249	1369	4108
250	1374	4100
251	1378	4092
252	1383	4085
253	1388	4077
254	1392	4068
255	1396	4059
256	1401	4052
257	1405	4043
258	1410	4035
259	1415	4028
260	1420	4021
261	1424	4012
262	1428	4003
263	1434	3997
264	1438	3990
265	1442	3981
266	1447	3974
267	1452	3966
268	1456	3958
269	1460	3950
270	1466	3944
271	1470	3936
272	1475	3928
273	1479	3920
274	1483	3910
275	1486	3900
276	1490	3890
277	1494	3880
278	1498	3873
279	1502	3863
280	1506	3853
281	1509	3843
282	1514	3836
283	1518	3827
284	1523	3820
285	1527	3812
286	1532	3806
287	1536	3798
288	1540	3790
289	1546	3785
290	1550	3777
291	1554	3770
292	1559	3761
293	1563	3755
294	1567	3745
295	1571	3736
296	1574	3727
297	1579	3720
298	1583	3711
299	1586	3702
300	1590	3693
301	1595	3687
302	1599	3679
303	1603	3670
304	1608	3664
305	1613	3658
306	1617	3651
307	1622	3644
308	1626	3638
309	1630	3629
310	1634	3621
311	1638	3613
312	1642	3605
313	1646	3597
314	1650	3590
315	1655	3583
316	1660	3576
317	1663	3568
318	1667	3559
319	1671	3551
320	1676	3546
321	1680	3538
322	1685	3532
323	1689	3526
324	1694	3519
325	1699	3512
326	1703	3506
327	1709	3501
328	1713	3494
329	1717	3487
330	1722	3481
331	1727	3475
332	1731	3468
333	1736	3462
334	1742	3458
335	1746	3451
336	1750	3444
337	1755	3438
338	1760	3432
339	1764	3425
340	1769	3419
341	1774	3413
342	1778	3406
343	1782	3399
344	1789	3396
345	1793	3389
346	1796	3381
347	1801	3375
348	1806	3369
349	1809	3361
350	1813	3353
351	1818	3347
352	1822	3341
353	1826	3333
354	1830	3326
355	1835	3320
356	1840	3314
357	1844	3307
358	1848	3301
359	1853	3295
360	1857	3288
361	1861	3280
362	1865	3273
363	1870	3267
364	1874	3260
365	1878	3253
366	1883	3249
367	1887	3242
368	1892	3235
369	1896	3229
370	1901	3223
371	1905	3216
372	1910	3210
373	1914	3205
374	1919	3199
375	1923	3192
376	1927	3185
377	1932	3179
378	1935	3171
379	1939	3164
380	1943	3158
381	1948	3152
382	1952	3146
383	1957	3139
384	1960	3132
385	1965	3126
386	1969	3119
387	1972	3111
388	1976	3104
389	1981	3098
390	1984	3091
391	1988	3084
392	1992	3077
393	1997	3072
394	2001	3065
395	2005	3059
396	2010	3053
397	2015	3048
398	2019	3042
399	2023	3034
400	2027	3028
401	2032	3022
402	2036	3016
403	2040	3009
404	2045	3005
405	2050	3000
406	2055	2995
407	2061	2991
408	2066	2986
409	2071	2980
410	2075	2975
411	2080	2969
412	2083	2961
413	2087	2955
414	2091	2948
415	2095	2942
416	2100	2936
417	2104	2930
418	2109	2925
419	2114	2920
